SEMANA 19,"1,01","6,96%",,
SEMANA 18,"0,94","-2,29%",,
SEMANA 17,"0,96","25,88%",,
SEMANA 16,"0,77","-15,45%",,
SEMANA 15,"0,91","-4,49%",,
SEMANA 14,"0,95","46,97%",,
SEMANA 13,"0,65","19,30%",,
SEMANA 12,"0,54","-13,97%",,
SEMANA 11,"0,63","4,41%",,
SEMANA 10,"0,60","-26,67%",,
SEMANA 09,"0,82","-3,79%",,
SEMANA 08,"0,85","31,05%",,
SEMANA 07,"0,65","-12,48%",,
SEMANA 06,"0,74","7,38%",,
SEMANA 05,"0,69","12,32%",,
SEMANA 04,"0,62","7,18%",,
SEMANA 03,"0,58","-22,75%",,
SEMANA 02,"0,74","23,77%",,
SEMANA 01,"0,60",-,MENSAL,
MAIO,"0,91","5,28%","0,65","40,27%"
ABRIL,"0,87","34,36%","0,70","23,72%"
MARÇO,"0,64","-12,33%","0,71","-9,22%"
FEVEREIRO,"0,74","15,83%","0,63","16,69%"
JANEIRO,"0,63",-,"0,56","13,33%"
